Kind,MimeType,Id,Name,ItemId,CaratWeightVersion,Center_Stone_Shape,MetalColor
drive#file,image/jpeg,1IaNF2H4IcodbPNnWGfFbmQjHN0ZEoIpd,MRCRD2907Q_30__W.jpg,MRCRD2907Q,30,,W.jpg
drive#file,image/jpeg,1IUGBZhPuWSHuZ3FYxAukCW3z4Ok6DXbt,MRCRD2916L___W.jpg,MRCRD2916L,,,W.jpg
drive#file,image/jpeg,1IGB7zqBhCrC1rJaeecaGQgGdagqllRnL,MRCRD2947_71__W.jpg,MRCRD2947,71,,W.jpg
drive#file,image/jpeg,1H9A0nFfmZYWBCHXCdHXuRLvuUki5ftvA,MRCRD2737_16__W.jpg,MRCRD2737,16,,W.jpg
drive#file,image/jpeg,1HLQktsf_Gpey7ENa4pxASYIYK2m5gg37,MRCRD2733_26__W.jpg,MRCRD2733,26,,W.jpg
drive#file,image/jpeg,1HR5ZncrQy1sFcBQqOOVy0z-HNKJuanlU,MRCRD2731_26__W.jpg,MRCRD2731,26,,W.jpg
drive#file,image/jpeg,1HM86EtQZcpMKO8iMBh5pUsZ2gYyiyjfJ,MRCRD2732_24__W.jpg,MRCRD2732,24,,W.jpg
drive#file,image/jpeg,1HM5_BQB5xicFjAv86QRc_dUAZdR42TaA,MRCRD2732Q_25__W.jpg,MRCRD2732Q,25,,W.jpg
drive#file,image/jpeg,1FzBQcfjdbiHvpfM1Y-DrwilxImMy64q-,MRCRD2676_26__W.jpg,MRCRD2676,26,,W.jpg
drive#file,image/jpeg,1Fsk21nIzzWtXvEPOTImbIlVKF0FJyba8,MRCRD2727_30__W.jpg,MRCRD2727,30,,W.jpg
drive#file,image/jpeg,1H9ZauE1OvBCUA-ZbwpSCEtWktuosV88o,MRCRD2734___W.jpg,MRCRD2734,,,W.jpg
drive#file,image/jpeg,1H80jcLaEzlIxjA7h3Wzrz39tuZqhT7kz,MRCRD2738Q___W.jpg,MRCRD2738Q,,,W.jpg
drive#file,image/jpeg,1GyPHYR1h6nhiCPkeD8CWwvpp6kngXAi4,MRCRD2739_50__W.jpg,MRCRD2739,50,,W.jpg
drive#file,image/jpeg,1Gp8zd4hRxodfg6-njMiY9g_8XQXw3QTq,MRCRD2744B_26__W.jpg,MRCRD2744B,26,,W.jpg
drive#file,image/jpeg,1I8b2Eb2bEmbIVu00nAFHXSSVeuJ3z92S,MRCRD2757___W.jpg,MRCRD2757,,,W.jpg
drive#file,image/jpeg,1I8BhTfB78p7aYaT1iQLTPFQPSLYpXhyV,MRCRD2759_16__W.jpg,MRCRD2759,16,,W.jpg
drive#file,image/jpeg,1G1UtTDFNvXNVqz1hiVRd-Kp0fvjpO4Si,MRCRD2675_25__W.jpg,MRCRD2675,25,,W.jpg
drive#file,image/jpeg,1G4MzKFKzxniNpqBwimi-hYw5X3nuMbfs,MRCRD2672_30__W.jpg,MRCRD2672,30,,W.jpg
drive#file,image/jpeg,1GGclLr3Q8tdHbPHlyxpDaEy1yxnxg2WK,MRCRD2616_PL__W.jpg,MRCRD2616,PL,,W.jpg
drive#file,image/jpeg,1Fd_09D3a3dK-G3ygQYE69cr06YOXNwxS,MRCRD2730_36__W.jpg,MRCRD2730,36,,W.jpg
drive#file,image/jpeg,1GL9wugsFrJwv2hZb0aRFJvbteYtsy-wh,MRCRD2570_PL__W.jpg,MRCRD2570,PL,,W.jpg
drive#file,image/jpeg,1GUYPu68s6HRqDuGJnneC-Hx06EUUlVeA,MRCRD2569_12__W.jpg,MRCRD2569,12,,W.jpg
drive#file,image/jpeg,1GGYo7-2kGAdUEMb03dJm-2UXNXOTT1rF,MRCRD2659___W.jpg,MRCRD2659,,,W.jpg
drive#file,image/jpeg,1G2__MNp9qj73RNVPBIa6bLbkcuDknOal,MRCRD2673_30__W.jpg,MRCRD2673,30,,W.jpg
drive#file,image/jpeg,1Gc0v-EL3raThBzkKNl5sVBxOaFtLGCd1,MRCRD2546Q___W.jpg,MRCRD2546Q,,,W.jpg
drive#file,image/jpeg,1GexyDwP2qQDlpGXrgCWcs-jCnmypTRV7,MRCRD2545___W.jpg,MRCRD2545,,,W.jpg
drive#file,image/jpeg,1GgrIRzaqlQz77YdIruMg-nIoKlPlxTp3,MRCRD2544_11__W.jpg,MRCRD2544,11,,W.jpg
drive#file,image/jpeg,1Gktsm2De8Xzv_kP0IaYDmDYjbsvg27QP,MRCRD2543_PL__W.jpg,MRCRD2543,PL,,W.jpg
drive#file,image/jpeg,1F8uOaoPhfhhlictH3kuK0ux0Kh3Fc9Nk,MRCRD2542Q_23__W.jpg,MRCRD2542Q,23,,W.jpg
drive#file,image/jpeg,1F91yx_8jg3zKJggH18r-GEfI7_Zxj45v,MRCRD2536Q___W.jpg,MRCRD2536Q,,,W.jpg
drive#file,image/jpeg,1FETTbOO7LjvJ0tQx8xXTBlmQr6WSCLwF,MRCRD2523_27__W.jpg,MRCRD2523,27,,W.jpg
drive#file,image/jpeg,1G9_jC7DWuEpx8Y8Fw3rZGNixbeF2_CPm,MRCRD2661_23__W.jpg,MRCRD2661,23,,W.jpg
drive#file,image/jpeg,1FETzfZvMCY9Wn6MZdxHBVCG3n2z4npCK,MRCRD2504Q_54__W.jpg,MRCRD2504Q,54,,W.jpg
drive#file,image/jpeg,1FLsRY29DnRfNgVy6AjjIzA2nA8jU6qdc,MRCRD2502Q___W.jpg,MRCRD2502Q,,,W.jpg
drive#file,image/jpeg,1FNIpRlOandW-p8unmM0U4pFj4EMEJDxQ,MRCRD2498AQH___W.jpg,MRCRD2498AQH,,,W.jpg
drive#file,image/jpeg,1FNhScZxq9EzykdcDNnLCiRUsHXAp8qJF,MRCRD2473Q_51__W.jpg,MRCRD2473Q,51,,W.jpg
drive#file,image/jpeg,1FOxs78XHYT6lzvv_ywaPFfvMfhbjsUhk,MRCRD2466Q_33__W.jpg,MRCRD2466Q,33,,W.jpg
drive#file,image/jpeg,1FZRl4sAd25CS5ihM2jt-HNVpz6-I0lHO,MRCRD2465Q_36__W.jpg,MRCRD2465Q,36,,W.jpg
drive#file,image/jpeg,1EzEDGABG5KKgzAHdcSaXvY3SF0-1HNnu,MRCRD2462Q_34__W.jpg,MRCRD2462Q,34,,W.jpg
drive#file,image/jpeg,1F0xHttd3CzCpyiWwMu0wK2ME3UKQBRfP,MRCRD2459Q_36__W.jpg,MRCRD2459Q,36,,W.jpg
